satisfaction_level,evaluation_score,projects,monthly_hours,tenure,accident,left,promoted,salary_level,department_Information Technology,department_Research and Development,department_Accounting,department_Human Resources,department_Management,department_Marketing,department_Product Management,department_Sales,department_Support,department_Technical,overtime,workload,stress_level
0.38,0.53,2,157,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,222.03152929257593,584.2934981383577
0.8,0.86,5,262,6,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,585.8498101049449,732.3122626311812
0.11,0.88,7,272,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,719.6443566095687,6542.221423723352
0.72,0.87,5,223,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,498.64315898245314,692.559943031185
0.37,0.52,2,159,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,224.85995641732214,607.7296119387084
0.41,0.5,2,153,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,216.37467504308356,527.7431098611794
0.1,0.77,6,247,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,605.0239664674449,6050.239664674448
0.92,0.85,5,259,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,579.1416061724456,629.5017458396147
0.89,1.0,5,224,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,500.8792269599529,562.78564826961
0.42,0.53,2,142,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,200.8183258569795,478.13887108804647
0.45,0.54,2,135,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,190.91883092036784,424.26406871192853
0.11,0.81,6,305,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,747.0943715488693,6791.767014080629
0.84,0.92,4,234,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,468.0,557.1428571428571
0.41,0.55,2,148,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,209.30360723121808,510.49660300297097
0.36,0.56,2,137,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,193.74725804511402,538.1868279030946
0.38,0.54,2,143,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,202.2325394193526,532.1908932088227
0.45,0.47,2,160,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,226.27416997969522,502.83148884376715
0.78,0.99,4,255,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,510.0,653.8461538461538
0.45,0.51,2,160,3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,226.27416997969522,502.83148884376715
0.76,0.89,5,262,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,585.8498101049449,770.8550132959801
